Radius Depth  Density
(km)   (km)   (kg/m3)
3480.0 2891.0 5566.5
3500.0 2871.0 5556.4 
3600.0 2771.0 5506.4 
3700.0 2671.0 5456.6 
3800.0 2571.0 5406.8 
3900.0 2471.0 5357.1 
4000.0 2371.0 5307.3 
4100.0 2271.0 5257.3 
4200.0 2171.0 5207.2 
4300.0 2071.0 5156.7 
4400.0 1971.0 5105.9 
4500.0 1871.0 5054.7 
4600.0 1771.0 5003.0 
4700.0 1671.0 4950.8 
4800.0 1571.0 4897.9 
4900.0 1471.0 4844.3 
5000.0 1371.0 4789.9 
5100.0 1271.0 4734.6 
5200.0 1171.0 4678.5 
5300.0 1071.0 4621.3 
5400.0 971.0 4563.1 
5500.0 871.0 4503.8 
5600.0 771.0 4443.2 
5701.0 670.0 4380.7 
5701.0 670.0 3992.1 
5800.0 571.0 3939.3 
5900.0 471.0 3813.2 
5971.0 400.0 3723.7 
5971.0 400.0 3543.3 
6000.0 371.0 3525.9 
6100.0 271.0 3466.2 
6151.0 220.0 3435.8 
6151.0 220.0 3359.5 
6200.0 171.0 3364.8 
6300.0 71.0 3375.7 
6346.6 24.4 3380.7 
6346.6 24.4 2900.0 
6356.0 15.0 2900.0 
6356.0 15.0 2600.0 
6368.0 3.0 2600.0 
6368.0 3.0 1020.0 
6371.0 0.0 1020.0
